,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.02795011820178479,tensor(0.4920),0.962,0.636,0.068,0.012594125476665795,tensor(0.4720),1.0,0.759,0.053
1,2,0.01219432331714779,tensor(0.5008),1.0,0.81,0.132,0.008359100790927186,tensor(0.5020),1.0,0.944,0.371
2,3,0.009903288745321334,tensor(0.4938),1.0,0.876,0.204,0.007784191010287032,tensor(0.4990),1.0,0.987,0.403
3,4,0.00837910589016974,tensor(0.5160),1.0,0.918,0.356,0.006728577579494413,tensor(0.4710),1.0,0.996,0.584
4,5,0.007708399454131722,tensor(0.5245),1.0,0.942,0.398,0.007986424003902357,tensor(0.5340),1.0,0.964,0.15
5,6,0.0068784023150801656,tensor(0.6777),1.0,0.948,0.426,0.005360572905592562,tensor(0.7910),1.0,0.982,0.547
6,7,0.005869479755870998,tensor(0.7692),1.0,0.966,0.46,0.004027203337063839,tensor(0.8110),1.0,0.997,0.733
7,8,0.005262182508595288,tensor(0.7997),1.0,0.962,0.454,0.004569883786467927,tensor(0.7820),1.0,0.989,0.559
8,9,0.005279555592685938,tensor(0.7855),1.0,0.966,0.448,0.0035714801007052303,tensor(0.8000),1.0,1.0,0.715
9,10,0.004923153673298657,tensor(0.7840),0.998,0.974,0.476,0.003505711716332371,tensor(0.7810),1.0,1.0,0.759
10,11,0.0046109609736595305,tensor(0.7955),1.0,0.976,0.532,0.003374147760613596,tensor(0.8040),1.0,1.0,0.803
11,12,0.004329675253713503,tensor(0.8025),1.0,0.994,0.544,0.003905864344540532,tensor(0.7950),1.0,0.999,0.65
12,13,0.004245644959853962,tensor(0.8067),1.0,0.988,0.558,0.0030911667613254395,tensor(0.8060),1.0,1.0,0.899
13,14,0.0041460936928633604,tensor(0.8048),1.0,0.976,0.55,0.0030847790924453874,tensor(0.8110),1.0,1.0,0.83
14,15,0.004017594733508304,tensor(0.8010),1.0,0.988,0.576,0.00356295258623868,tensor(0.7770),1.0,1.0,0.73
15,16,0.003797151836566627,tensor(0.8108),1.0,0.984,0.616,0.003064715670962869,tensor(0.7980),1.0,1.0,0.916
16,17,0.003701135961106047,tensor(0.8105),1.0,0.992,0.636,0.0029599286913544348,tensor(0.7990),1.0,1.0,0.931
17,18,0.003652138417586684,tensor(0.8100),1.0,0.988,0.676,0.002837225552995733,tensor(0.8230),1.0,0.999,0.881
18,19,0.0034299981349613516,tensor(0.8313),1.0,0.998,0.646,0.0029365441725967686,tensor(0.8060),1.0,1.0,0.914
19,20,0.0033699765014462172,tensor(0.8322),1.0,0.998,0.65,0.0028599724417672405,tensor(0.8220),1.0,1.0,0.845
