,epochs,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.01766802130587166,0.95,0.6,0.04375,0.006406177640868312,1.0,0.8333333333333334,0.09583333333333334
1,2,0.0075073646963574,1.0,0.7625,0.125,0.005286385701735222,1.0,0.8583333333333333,0.2833333333333333
2,3,0.006210293370531872,1.0,0.85,0.1625,0.00822263587457807,1.0,0.7,0.12083333333333333
3,4,0.005942398325714748,1.0,0.89375,0.2125,0.005016183724092116,1.0,0.8708333333333333,0.2916666666666667
4,5,0.004883515852270648,1.0,0.91875,0.225,0.0066229844593181045,1.0,0.7875,0.2
5,6,0.003952366079465719,1.0,0.95,0.3,0.004500289926090773,1.0,0.8916666666666667,0.325
6,7,0.0032538356514123733,1.0,0.96875,0.41875,0.004459134149571279,1.0,0.8875,0.3125
7,8,0.0026741288776975123,1.0,0.95625,0.4,0.005270282792935177,1.0,0.85,0.275
8,9,0.0025730116241902577,1.0,0.9625,0.4375,0.004705878671635825,1.0,0.8791666666666667,0.3
9,10,0.002433500643383013,1.0,0.975,0.49375,0.004332218663906436,1.0,0.875,0.3416666666666667
