,epochs,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.049727300753196084,0.9533333333333334,0.62,0.05333333333333334,0.008418413838553533,0.9966666666666667,0.86,0.24
1,2,0.010587275506307682,1.0,0.7866666666666666,0.12666666666666668,0.006697129679087084,1.0,0.8766666666666667,0.22333333333333333
2,3,0.008926517429451148,1.0,0.8333333333333334,0.12666666666666668,0.0064498026025830765,1.0,0.8866666666666667,0.24333333333333335
3,4,0.008529587977876266,1.0,0.7933333333333333,0.10666666666666667,0.006269003506749868,1.0,0.87,0.2866666666666667
4,5,0.008371659205295146,1.0,0.7866666666666666,0.12666666666666668,0.005841304689389896,1.0,0.8733333333333333,0.3
5,6,0.007543849547704061,1.0,0.82,0.2,0.005461404508096166,1.0,0.8933333333333333,0.35333333333333333
6,7,0.007353105916020771,1.0,0.8266666666666667,0.16,0.007186438194476068,0.9966666666666667,0.8466666666666667,0.14333333333333334
7,8,0.007518150073786576,0.9933333333333333,0.84,0.15333333333333332,0.005975574196587938,1.0,0.8766666666666667,0.26
8,9,0.006826481147048374,1.0,0.92,0.22666666666666666,0.0060948182205902415,0.9966666666666667,0.87,0.26666666666666666
9,10,0.006377228458101551,1.0,0.8533333333333334,0.19333333333333333,0.004864784213762808,1.0,0.92,0.42
