,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.015118477021111175,tensor(0.4980),0.99,0.862,0.56,0.0045157040089252405,tensor(0.4990),1.0,0.914,0.582
1,2,0.004997775381663815,tensor(0.4845),1.0,0.87,0.556,0.0048764936194638725,tensor(0.5140),0.999,0.891,0.553
2,3,0.004782664073631168,tensor(0.5065),1.0,0.898,0.602,0.0034050724890839776,tensor(0.5270),1.0,0.942,0.669
3,4,0.004388614262454212,tensor(0.4945),1.0,0.896,0.58,0.003081291144597344,tensor(0.5050),1.0,0.952,0.695
4,5,0.0039015045058913528,tensor(0.4955),1.0,0.92,0.638,0.003147111532656709,tensor(0.4900),1.0,0.952,0.694
5,6,0.00386693010176532,tensor(0.5005),1.0,0.938,0.628,0.003097985745029291,tensor(0.4900),1.0,0.959,0.682
6,7,0.0037811954927165063,tensor(0.5170),1.0,0.932,0.618,0.002771757417183835,tensor(0.5100),1.0,0.97,0.711
7,8,0.003309442133177072,tensor(0.5055),1.0,0.93,0.65,0.00255939920063247,tensor(0.5020),1.0,0.984,0.714
8,9,0.0029105429608607663,tensor(0.4955),1.0,0.956,0.646,0.002400225514284102,tensor(0.5200),1.0,0.989,0.718
9,10,0.0025495833836030215,tensor(0.4995),1.0,0.98,0.696,0.00199374330235878,tensor(0.5090),1.0,0.998,0.777
