,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.05881132864703735,tensor(0.4950),1.0,0.7866666666666666,0.56,0.05270352599521478,tensor(0.5200),0.9966666666666667,0.87,0.5433333333333333
1,2,0.05338577553629875,tensor(0.5250),1.0,0.8533333333333334,0.5333333333333333,0.0548411636489133,tensor(0.4833),0.9933333333333333,0.8633333333333333,0.56
2,3,0.054905568324029444,tensor(0.4942),1.0,0.8133333333333334,0.5666666666666667,0.049701806247855224,tensor(0.5700),0.9966666666666667,0.8933333333333333,0.5533333333333333
3,4,0.04663014207035303,tensor(0.6158),1.0,0.7733333333333333,0.47333333333333333,0.040382772717081634,tensor(0.6767),1.0,0.8666666666666667,0.5766666666666667
4,5,0.0388238774612546,tensor(0.7167),1.0,0.7866666666666666,0.5,0.03770086270795825,tensor(0.7000),1.0,0.9033333333333333,0.5666666666666667
5,6,0.033017041748389604,tensor(0.7658),1.0,0.8733333333333333,0.5533333333333333,0.032637850429273384,tensor(0.7700),1.0,0.87,0.5033333333333333
6,7,0.03039718237395088,tensor(0.7875),1.0,0.9,0.5866666666666667,0.039173760650058585,tensor(0.7133),1.0,0.8566666666666667,0.5633333333333334
7,8,0.02691612416567902,tensor(0.8200),1.0,0.8466666666666667,0.5466666666666666,0.02907841777196154,tensor(0.8200),1.0,0.82,0.57
8,9,0.028922042306512595,tensor(0.8058),1.0,0.8466666666666667,0.5466666666666666,0.027789734033673692,tensor(0.8400),1.0,0.9233333333333333,0.6266666666666667
9,10,0.024450564368938405,tensor(0.8475),1.0,0.88,0.5866666666666667,0.029355765261376898,tensor(0.7833),1.0,0.9266666666666666,0.62
10,11,0.02544435393996537,tensor(0.8383),1.0,0.8066666666666666,0.5,0.02434104973333888,tensor(0.8333),1.0,0.9433333333333334,0.6466666666666666
11,12,0.022537929060248037,tensor(0.8567),1.0,0.88,0.54,0.02465847180535396,tensor(0.8167),1.0,0.8733333333333333,0.5766666666666667
