,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.01988491037860513,tensor(0.4892),0.98,0.5933333333333334,0.04666666666666667,0.011282590117383128,tensor(0.4833),0.9966666666666667,0.86,0.25
1,2,0.013059806156282624,tensor(0.4925),0.9933333333333333,0.76,0.11333333333333333,0.011118253302605201,tensor(0.5000),1.0,0.8266666666666667,0.11
2,3,0.011518206484615802,tensor(0.4950),1.0,0.7733333333333333,0.11333333333333333,0.009696136865532026,tensor(0.4733),1.0,0.9133333333333333,0.31666666666666665
3,4,0.010668606314187248,tensor(0.5033),1.0,0.8466666666666667,0.19333333333333333,0.010789351074587708,tensor(0.5233),1.0,0.82,0.12666666666666668
4,5,0.00986738302744925,tensor(0.5100),1.0,0.8733333333333333,0.22666666666666666,0.009438121042621787,tensor(0.4733),1.0,0.91,0.29333333333333333
5,6,0.00830007555273672,tensor(0.4842),1.0,0.9666666666666667,0.3933333333333333,0.009157644710503518,tensor(0.4933),1.0,0.91,0.31333333333333335
6,7,0.008070364982510606,tensor(0.5158),1.0,0.9666666666666667,0.36666666666666664,0.011038329334308703,tensor(0.5233),1.0,0.8566666666666667,0.21333333333333335
7,8,0.007782014003023505,tensor(0.5000),1.0,0.9733333333333334,0.3466666666666667,0.009042918748843174,tensor(0.4900),1.0,0.9433333333333334,0.3433333333333333
8,9,0.007458444520210226,tensor(0.5200),1.0,0.9666666666666667,0.37333333333333335,0.009459207970649005,tensor(0.5833),1.0,0.8933333333333333,0.34
9,10,0.007517196120073398,tensor(0.5467),1.0,0.98,0.46,0.008642130510415881,tensor(0.5367),1.0,0.9266666666666666,0.3466666666666667
10,11,0.00697024067863822,tensor(0.5533),1.0,0.9666666666666667,0.4666666666666667,0.007952079817672104,tensor(0.6033),1.0,0.9366666666666666,0.47
11,12,0.006397437429986894,tensor(0.6783),1.0,0.9933333333333333,0.5266666666666666,0.0074434419890167195,tensor(0.6933),1.0,0.9433333333333334,0.4
