,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,10.441259168256074,tensor(0.4892),0.5,0.13333333333333333,0.013333333333333334,0.025639162223475676,tensor(0.4833),0.97,0.16,0.0
1,2,0.03455490575482448,tensor(0.4925),0.8866666666666667,0.38,0.02,0.02272048785545242,tensor(0.5000),0.99,0.21333333333333335,0.0033333333333333335
2,3,0.0327083749572436,tensor(0.4950),0.8466666666666667,0.3933333333333333,0.04666666666666667,0.014002889401162975,tensor(0.4733),1.0,0.6333333333333333,0.05333333333333334
3,4,0.028452500365674496,tensor(0.5033),0.86,0.41333333333333333,0.09333333333333334,0.01117916311127677,tensor(0.5233),1.0,0.84,0.15
4,5,0.02807592582888901,tensor(0.5100),0.88,0.4666666666666667,0.07333333333333333,0.012133416987683934,tensor(0.4733),1.0,0.83,0.13
5,6,0.02663813951735695,tensor(0.4833),0.9066666666666666,0.4666666666666667,0.05333333333333334,0.012267278488628412,tensor(0.4600),1.0,0.81,0.11333333333333333
6,7,0.023908872778217,tensor(0.4950),0.9266666666666666,0.6066666666666667,0.06,0.011960170745733195,tensor(0.4967),1.0,0.8166666666666667,0.11
7,8,0.022632580989350875,tensor(0.4983),0.9266666666666666,0.5733333333333334,0.08666666666666667,0.010779485894357397,tensor(0.4900),1.0,0.8533333333333334,0.23333333333333334
8,9,0.023426807389284175,tensor(0.5050),0.9266666666666666,0.43333333333333335,0.03333333333333333,0.013383149218425388,tensor(0.5367),1.0,0.7233333333333334,0.07666666666666666
9,10,0.020169438148538273,tensor(0.5042),0.9266666666666666,0.6133333333333333,0.08666666666666667,0.016928413830852758,tensor(0.5300),0.9933333333333333,0.5133333333333333,0.02666666666666667
10,11,0.019310958177472155,tensor(0.4892),0.9733333333333334,0.66,0.06666666666666667,0.017501758160069585,tensor(0.4967),0.9933333333333333,0.6,0.023333333333333334
11,12,0.01834538786361615,tensor(0.4767),0.9866666666666667,0.62,0.08,0.013843068372807465,tensor(0.4967),0.9966666666666667,0.7266666666666667,0.07
12,13,0.016091326304400962,tensor(0.5075),0.98,0.68,0.12,0.01446559800223137,tensor(0.5033),1.0,0.7266666666666667,0.07666666666666666
13,14,0.015227258838713169,tensor(0.4958),0.98,0.64,0.08,0.012689275649609044,tensor(0.4500),1.0,0.79,0.09
14,15,0.013810988956441481,tensor(0.5142),1.0,0.7666666666666667,0.14666666666666667,0.011222908613077986,tensor(0.5367),1.0,0.8333333333333334,0.11333333333333333
15,16,0.013025200683623553,tensor(0.5008),1.0,0.7466666666666667,0.16666666666666666,0.010354628658096771,tensor(0.5033),1.0,0.8766666666666667,0.26
16,17,0.0127967802186807,tensor(0.5042),1.0,0.7333333333333333,0.14,0.010755124672141392,tensor(0.4900),1.0,0.8666666666666667,0.21333333333333335
17,18,0.01280663299995164,tensor(0.4792),1.0,0.7466666666666667,0.10666666666666667,0.009982772256286505,tensor(0.5500),1.0,0.87,0.22666666666666666
18,19,0.01185727893685301,tensor(0.5025),1.0,0.7733333333333333,0.13333333333333333,0.010552147469328095,tensor(0.5000),0.9966666666666667,0.8666666666666667,0.23333333333333334
19,20,0.011655326578766107,tensor(0.4825),1.0,0.8266666666666667,0.16666666666666666,0.010613276271227127,tensor(0.5167),1.0,0.8633333333333333,0.17
