,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.014767274186015129,tensor(0.4942),0.988,0.752,0.142,0.009830422134138643,tensor(0.5310),1.0,0.874,0.246
1,2,0.010978933289647103,tensor(0.5030),1.0,0.82,0.192,0.008873151662526653,tensor(0.5370),1.0,0.919,0.38
2,3,0.00968764918949455,tensor(0.5383),1.0,0.91,0.274,0.008591207679593935,tensor(0.6730),1.0,0.938,0.279
3,4,0.007264323900453746,tensor(0.6590),1.0,0.958,0.36,0.005700574085189146,tensor(0.7280),1.0,0.988,0.503
4,5,0.00588834559218958,tensor(0.7200),1.0,0.966,0.43,0.004836973852936353,tensor(0.7470),1.0,0.993,0.581
5,6,0.005257531519047916,tensor(0.7607),1.0,0.972,0.462,0.004358358882986068,tensor(0.7510),1.0,0.994,0.635
6,7,0.0049455530103296045,tensor(0.7520),1.0,0.986,0.492,0.004373552030023348,tensor(0.7730),1.0,0.991,0.639
7,8,0.004635079148225486,tensor(0.7782),1.0,0.98,0.524,0.004470085081615252,tensor(0.7830),1.0,0.99,0.592
8,9,0.004357931579928845,tensor(0.7810),1.0,0.99,0.578,0.0035897817171353383,tensor(0.8170),1.0,0.996,0.696
9,10,0.004130835958523676,tensor(0.7843),1.0,0.996,0.57,0.0047600368899147726,tensor(0.7760),1.0,0.978,0.541
10,11,0.003986592215485871,tensor(0.7922),1.0,0.988,0.622,0.003861321162326931,tensor(0.7830),1.0,0.996,0.65
11,12,0.003879616040037945,tensor(0.8058),1.0,0.994,0.596,0.003924342181548127,tensor(0.7970),1.0,0.995,0.575
12,13,0.0036413029711693527,tensor(0.8083),1.0,0.992,0.682,0.0038852853480802877,tensor(0.7910),1.0,0.993,0.663
13,14,0.0034998243869049477,tensor(0.8167),1.0,0.996,0.642,0.0034933617178085114,tensor(0.8080),1.0,0.997,0.697
14,15,0.0034159071509493517,tensor(0.8173),1.0,0.994,0.694,0.004060700983695824,tensor(0.8020),1.0,0.994,0.582
15,16,0.003186963452491909,tensor(0.8367),1.0,0.998,0.712,0.003464705819013034,tensor(0.8100),1.0,0.995,0.671
16,17,0.0030708475302672015,tensor(0.8487),1.0,0.998,0.734,0.0031149406155927865,tensor(0.8410),1.0,0.997,0.776
17,18,0.003099997728248127,tensor(0.8428),1.0,0.996,0.734,0.00316076235626042,tensor(0.8580),1.0,0.997,0.685
18,19,0.002822785578551702,tensor(0.8615),1.0,1.0,0.73,0.0031442123492597604,tensor(0.8440),1.0,0.998,0.714
19,20,0.0027937598495045676,tensor(0.8610),1.0,1.0,0.75,0.0030314694146345573,tensor(0.8580),1.0,0.996,0.744
