,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.015519052326679229,tensor(0.4983),0.988,0.694,0.1,0.011072523654438554,tensor(0.5400),1.0,0.824,0.112
1,2,0.010941088549792767,tensor(0.5000),1.0,0.826,0.196,0.008412071297876536,tensor(0.5230),1.0,0.947,0.416
2,3,0.00884989096224308,tensor(0.5232),1.0,0.92,0.31,0.00828714281466091,tensor(0.6130),1.0,0.972,0.308
3,4,0.007519375452771783,tensor(0.6020),1.0,0.94,0.376,0.005793739857686888,tensor(0.6160),1.0,0.994,0.599
4,5,0.006445099400356412,tensor(0.6867),1.0,0.962,0.45,0.006034510989105911,tensor(0.7300),1.0,0.986,0.431
5,6,0.00570738118281588,tensor(0.7705),1.0,0.964,0.452,0.005055842606068836,tensor(0.7840),1.0,0.978,0.472
6,7,0.005030672922730446,tensor(0.7772),1.0,0.978,0.506,0.004218872094326798,tensor(0.7960),1.0,0.997,0.597
7,8,0.004745090076234191,tensor(0.8075),1.0,0.974,0.478,0.004332679494527838,tensor(0.7990),1.0,0.989,0.529
8,9,0.004362082228763029,tensor(0.8100),1.0,0.994,0.52,0.003649769193656539,tensor(0.8530),1.0,0.992,0.615
9,10,0.003955957996658981,tensor(0.8220),1.0,0.998,0.594,0.004404005771844822,tensor(0.8330),1.0,0.992,0.516
10,11,0.003771059428108856,tensor(0.8355),1.0,0.99,0.59,0.003256722791775246,tensor(0.8410),1.0,0.997,0.725
11,12,0.00367017727275379,tensor(0.8478),1.0,0.996,0.58,0.0034882239503895105,tensor(0.8420),1.0,0.999,0.675
12,13,0.0034260299457237126,tensor(0.8472),1.0,0.986,0.616,0.003350097867372824,tensor(0.8380),1.0,0.999,0.719
13,14,0.0033929257004056126,tensor(0.8455),1.0,0.996,0.65,0.0031301293546894156,tensor(0.8600),1.0,0.998,0.727
14,15,0.003279348711948842,tensor(0.8453),1.0,0.996,0.638,0.0034349830045966884,tensor(0.8250),1.0,0.996,0.686
15,16,0.002999243994941935,tensor(0.8655),1.0,0.998,0.728,0.003085814775822655,tensor(0.8540),1.0,0.997,0.743
16,17,0.002854335943702608,tensor(0.8648),1.0,0.998,0.728,0.0032137653996605875,tensor(0.8420),1.0,0.999,0.699
17,18,0.0029075318030081687,tensor(0.8550),1.0,0.996,0.75,0.00281036119631608,tensor(0.8600),1.0,0.996,0.773
18,19,0.002690264165517874,tensor(0.8715),1.0,1.0,0.758,0.0032189262907995728,tensor(0.8440),1.0,1.0,0.684
19,20,0.00273980275366921,tensor(0.8668),1.0,1.0,0.748,0.0028469572780668384,tensor(0.8560),1.0,0.999,0.748
