,epochs,train_loss,train_similarities_acc,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_similarities_acc,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.02183725897129625,tensor(0.0018),0.984,0.676,0.084,0.010385757900956378,tensor(0.5140),1.0,0.86,0.231
1,2,0.010119642786215991,tensor(0.1152),0.998,0.8,0.14,0.008155500170811137,tensor(0.5920),1.0,0.875,0.202
2,3,0.007931324667530134,tensor(0.2903),1.0,0.862,0.188,0.006414606104941413,tensor(0.6280),1.0,0.897,0.274
3,4,0.006153173040831462,tensor(0.4280),1.0,0.91,0.234,0.00594177373599814,tensor(0.7150),1.0,0.901,0.29
4,5,0.005105864244047552,tensor(0.5782),1.0,0.894,0.26,0.006009824333201323,tensor(0.7750),1.0,0.895,0.261
5,6,0.004232449253322557,tensor(0.6628),1.0,0.946,0.32,0.005471378283429658,tensor(0.7490),1.0,0.916,0.3
6,7,0.003861605265876278,tensor(0.7135),1.0,0.948,0.368,0.005840291320237156,tensor(0.8380),1.0,0.862,0.253
7,8,0.0035546925908420237,tensor(0.8300),1.0,0.944,0.39,0.005126011808086332,tensor(0.8550),1.0,0.941,0.371
8,9,0.003158170828362927,tensor(0.8662),1.0,0.978,0.458,0.004489790957199602,tensor(0.9070),1.0,0.941,0.348
9,10,0.00294858106423635,tensor(0.8950),1.0,0.978,0.48,0.004035244431659748,tensor(0.9110),1.0,0.958,0.41
10,11,0.0027353953388519585,tensor(0.9243),1.0,0.98,0.488,0.003684950511875286,tensor(0.9340),1.0,0.963,0.438
11,12,0.002587959154625423,tensor(0.9490),1.0,0.98,0.542,0.004433029141016959,tensor(0.9040),1.0,0.959,0.399
12,13,0.0023421446125139484,tensor(0.9610),1.0,0.982,0.546,0.003894983464233519,tensor(0.9270),1.0,0.973,0.415
13,14,0.0022025936995632945,tensor(0.9755),1.0,0.98,0.556,0.004700625214380125,tensor(0.9170),1.0,0.94,0.302
14,15,0.0021282644673483444,tensor(0.9747),1.0,0.996,0.556,0.0038331418027973997,tensor(0.9320),1.0,0.943,0.353
15,16,0.001862993027374614,tensor(0.9780),1.0,0.988,0.648,0.003196410173517506,tensor(0.9270),1.0,0.972,0.459
16,17,0.0019975553762051276,tensor(0.9685),1.0,0.992,0.57,0.004369885288022487,tensor(0.9330),1.0,0.936,0.363
17,18,0.0018710552036063745,tensor(0.9812),1.0,0.994,0.638,0.0037675961061431735,tensor(0.9310),1.0,0.949,0.385
18,19,0.0017415349338552914,tensor(0.9805),1.0,0.996,0.622,0.003233500702361198,tensor(0.9220),1.0,0.973,0.482
19,20,0.001729923769191373,tensor(0.9803),1.0,0.996,0.656,0.0033305331403080344,tensor(0.9200),1.0,0.971,0.504
