,epochs,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.047250040085054935,0.655,0.2,0.01,0.03525723209963568,0.7366666666666667,0.21333333333333335,0.016666666666666666
1,2,0.032171993809752164,0.77,0.235,0.015,0.031096381153911352,0.7666666666666667,0.37666666666666665,0.06
2,3,0.02309157218900509,0.895,0.395,0.06,0.026787216261509456,0.8166666666666667,0.38333333333333336,0.06666666666666667
3,4,0.01751929764286615,0.9,0.495,0.065,0.02521734954418207,0.85,0.39666666666666667,0.10666666666666667
4,5,0.013318463761825114,0.945,0.56,0.08,0.022935597186030162,0.8566666666666667,0.45666666666666667,0.09333333333333334
5,6,0.010993466717191041,0.94,0.515,0.07,0.024392141697123105,0.84,0.45666666666666667,0.12
6,7,0.009273134437389672,0.96,0.72,0.14,0.021924230325918566,0.85,0.5,0.12
7,8,0.008398488719249144,0.985,0.635,0.14,0.02220299673020539,0.8466666666666667,0.5233333333333333,0.17333333333333334
8,9,0.007581697846180759,0.98,0.755,0.16,0.022690375579768444,0.84,0.5066666666666667,0.12666666666666668
9,10,0.0062844347697682676,0.99,0.76,0.25,0.02164951490120984,0.86,0.5333333333333333,0.15333333333333332
